参数名,参数值, ,指标,训练集,测试集
algorithm,auto,,R2,0.9992857139504708,0.7494583665141782
leaf_size,20,,RMSE,4.592557937314538,92.68606140318727
n_neighbors,3,,EF,0.9992857139504708,0.7494583665141782
p,1,,M (绝对偏差),0.5434075907590761,54.889521104556444
weights,distance,,t-test统计量,-9.225458593491374e-16,-0.19446630029686063
,,,t-test p值,0.9999999999999993,0.8462013990984913
,,,MSE,21.091588407590766,8590.7059784354
,,,MAE,0.5434075907590761,54.889521104556444
,,,交叉验证_R2,0.9994189508821973,0.7395822942649682
,,,交叉验证_RMSE,3.9951902985158023,85.7646044590056
,,,交叉验证_EF,0.9994189508821973,0.7395822942649682
,,,交叉验证_R2_标准差,0.0002745789078853845,0.12061067873237372
,,,过拟合风险,是,
