参数名,参数值, ,指标,训练集,测试集
alpha,10.0000,,R2,0.3144941139252282,0.2617563482046994
max_iter,1000.0000,,RMSE,142.27354532664756,159.10152262102363
tol,0.0001,,EF,0.3144941139252282,0.2617563482046994
,,,M (绝对偏差),109.63240742609337,123.35472780970255
,,,t-test统计量,-1.0561821591192652e-14,-1.0261748964769437
,,,t-test p值,0.9999999999999916,0.307260566995201
,,,MSE,20241.761699813636,25313.2945003281
,,,MAE,109.63240742609337,123.35472780970255
,,,交叉验证_R2,0.3221137701937744,0.24861273421517316
,,,交叉验证_RMSE,141.42019141573354,147.99944475816133
,,,交叉验证_EF,0.3221137701937744,0.24861273421517316
,,,交叉验证_R2_标准差,0.012350487619551459,0.050820533718631176
,,,过拟合风险,否,
