参数名,参数值, ,指标,训练集,测试集
learning_rate,0.0100,,R2,0.5677402020160562,0.3565258129231975
max_depth,3.0000,,RMSE,7.949557301223172,6.074499208211757
max_features,,,EF,0.5677402020160562,0.3565258129231975
min_samples_leaf,2.0000,,M (绝对偏差),5.346522520135476,4.510254036512957
min_samples_split,2.0000,,t-test统计量,1.3302057060569777e-15,-0.6142049992848306
n_estimators,100.0000,,t-test p值,0.9999999999999989,0.5482831718400218
subsample,1.0000,,MSE,63.195461285430646,36.89954063056526
,,,MAE,5.346522520135476,4.510254036512957
,,,交叉验证_R2,0.5782981636847376,-0.0801717927094403
,,,交叉验证_RMSE,7.781651133945793,9.566305058178765
,,,交叉验证_EF,0.5782981636847376,-0.0801717927094403
,,,交叉验证_R2_标准差,0.031431159823284746,0.5238733207677718
,,,过拟合风险,是,
