参数名,参数值, ,指标,训练集,测试集
max_depth,10.0000,,R2,0.5653239716146801,0.20008903879744377
min_samples_leaf,4.0000,,RMSE,7.971744415178759,6.772760820927916
min_samples_split,10.0000,,EF,0.5653239716146801,0.20008903879744377
n_estimators,50.0000,,M (绝对偏差),4.943927325350719,5.118835217970615
,,,t-test统计量,-0.4686185715534959,-1.5038829962377966
,,,t-test p值,0.6409597795854447,0.15337327432657633
,,,MSE,63.548709020933735,45.87028913749618
,,,MAE,4.943927325350719,5.118835217970615
,,,交叉验证_R2,0.5162363241356928,-0.24483679491654975
,,,交叉验证_RMSE,8.33665594236498,10.335883465071097
,,,交叉验证_EF,0.5162363241356928,-0.24483679491654975
,,,交叉验证_R2_标准差,0.047146000501786946,0.39079572555284253
,,,过拟合风险,是,
