参数名,参数值, ,指标,训练集,测试集
C,1,,R2,0.2557580881194407,-0.23878643515679054
degree,3,,RMSE,10.431039328779892,8.428361127278812
gamma,scale,,EF,0.2557580881194407,-0.23878643515679054
kernel,linear,,M (绝对偏差),5.058064352694708,5.4125174509811815
max_iter,10000,,t-test统计量,2.1519401264946585,0.30912144944008546
,,,t-test p值,0.03524135803868752,0.76148133717613
,,,MSE,108.80658147855286,71.03727129182457
,,,MAE,5.058064352694708,5.4125174509811815
,,,交叉验证_R2,0.2962370269287287,0.16170477405356007
,,,交叉验证_RMSE,10.079054183818153,9.496517233554169
,,,交叉验证_EF,0.2962370269287287,0.16170477405356007
,,,交叉验证_R2_标准差,0.12356675066366513,0.17309160034706314
,,,过拟合风险,是,
