参数名,参数值, ,指标,训练集,测试集
colsample_bytree,0.6000,,R2,0.2680365269671453,0.15102995591293822
learning_rate,0.0100,,RMSE,10.344636285792888,6.977359467920276
max_depth,3.0000,,EF,0.2680365269671453,0.15102995591293822
n_estimators,50.0000,,M (绝对偏差),6.8656746256351475,5.550636925697326
n_jobs,-1.0000,,t-test统计量,0.14607250589248652,-0.8581279674012233
subsample,0.6000,,t-test p值,0.8843305432480224,0.40432565892217653
,,,MSE,107.01149988534286,48.68354514457672
,,,MAE,6.8656746256351475,5.550636925697326
,,,交叉验证_R2,0.29449575434550457,-0.29854755705542707
,,,交叉验证_RMSE,10.049618901540795,10.715150825082096
,,,交叉验证_EF,0.29449575434550457,-0.29854755705542707
,,,交叉验证_R2_标准差,0.015447988965261143,0.5093322074598016
,,,过拟合风险,是,
