参数名,参数值, ,指标,训练集,测试集
C,100,,R2,0.6835275939552494,0.6553552788697437
degree,3,,RMSE,96.66883487966825,108.70769589418346
gamma,auto,,EF,0.6835275939552494,0.6553552788697437
kernel,rbf,,M (绝对偏差),65.17428365039206,75.68874321387565
max_iter,10000,,t-test统计量,3.925181016819769,0.5378008251578055
,,,t-test p值,0.00010190161407559856,0.5918976313999411
,,,MSE,9344.863636992564,11817.363146622272
,,,MAE,65.17428365039206,75.68874321387565
,,,交叉验证_R2,0.6784144624131542,0.5673383537705375
,,,交叉验证_RMSE,97.40122080195265,112.45813728370263
,,,交叉验证_EF,0.6784144624131542,0.5673383537705375
,,,交叉验证_R2_标准差,0.009917332116187191,0.03030044263093356
,,,过拟合风险,否,
