参数名,参数值, ,指标,训练集,测试集
colsample_bytree,0.6000,,R2,0.9929562617092526,0.8622616919308234
learning_rate,0.1000,,RMSE,14.42182314456854,68.72295848046777
max_depth,3.0000,,EF,0.9929562617092526,0.8622616919308234
n_estimators,500.0000,,M (绝对偏差),10.527088103908124,43.44776227464863
n_jobs,-1.0000,,t-test统计量,-0.1091799633393436,-0.640236302770749
subsample,0.8000,,t-test p值,0.9131140947281036,0.5234687869929162
,,,MSE,207.9889828132128,4722.845022308096
,,,MAE,10.527088103908124,43.44776227464863
,,,交叉验证_R2,0.9953415799384591,0.8345874225635829
,,,交叉验证_RMSE,11.715884100718442,68.7744479894813
,,,交叉验证_EF,0.9953415799384591,0.8345874225635829
,,,交叉验证_R2_标准差,0.0003398114121151447,0.051092400692290575
,,,过拟合风险,否,
