longitude,latitude,Altitude,Precipitation,Average Temperature,Lowest Temperature,Highest Temperature,pH,TN,SOC,depth,mineral_N quantity,organic_N quantity,optimized_n2o,original_n2o,reduction,reduction_percent,Altitude_change_percent,Precipitation_change_percent,Average Temperature_change_percent,Lowest Temperature_change_percent,Highest Temperature_change_percent,pH_change_percent,TN_change_percent,SOC_change_percent,depth_change_percent,mineral_N quantity_change_percent,organic_N quantity_change_percent
119.08,31.58,116.60000000000001,1305.0372163823938,15.778114642400922,0.08800000000000001,9.317000000000002,4.7576270951425625,3.5200000000000005,1.9260000000000002,9,495.00000000000006,0,13.840003186880839,17.3,3.4599968131191616,19.999981578723478,9.999999999990573,9.482987951542308,-4.951116612,9.99999998750001,9.99999999988195,5.725046558596389,9.999999999687509,-10,-10,9.999999999997792,0
119.57,22.22,46.55500292465965,1433.3148714594665,23.400000000000002,2.859213415478355,34.68122154471101,5.088765051413335,1.044,1.2566880231935427,4.504618285480556,235.32599633829366,0,2.2320002747085326,2.79,0.5579997252914675,19.99999015381604,1.2065280970835655,0.512964337970969,-10,9.969746748784038,9.959484922958305,5.576038410949357,-9.999999999,9.946458721224513,-9.90763429,4.589331705906256,0
119.03,31.21,75.42,1041.3,14.898093097696972,-12.067,41.805952252452336,4.8253316160199775,0.8123208139504169,0.9122073749682685,19.27937140948339,88,0,3.392009752300014,4.24,0.8479902476999861,19.9997699929242,-10,-10,-6.301301272,-10,7.553260232685323,-7.20516123,1.5401017436095925,-5.21536004,-3.603142953,9.9999999999875,0
113.2,28.35,114.28695685338873,1608.3967789580756,15.580298683055574,1.0667370807766026,30.332859041078613,3.866984047799242,0.7323866086938463,0.8643716700275326,9.131587682475043,333.1672701936752,95.11377039874455,9.040000883828267,11.3,2.259999116171734,19.99999217851092,8.844720812742748,3.9418882614754813,-9.94047004,-1.228048076,-4.222105964,-7.043652697,3.1530434775624365,-8.725272435,-8.684123175,-3.429776755,-9.415456763
110.43,32.07,396,1005.4000000000001,15.620000000000001,-2.893,31.691000000000003,4.86,1.242,1.161,9,0,405,16.72021151603085,20.69,3.9697884839691504,19.18699122266385,-10,9.999999999998915,9.99999999992959,-10,9.999999999965304,-10,-9.999999999,-9.999999999,-10,0,-10
113.201,28.35,101.31744519926382,1666.5000000000002,19.100174118675515,0.7116239167762208,31.370275258893574,3.744,0.8140000000000001,0.9462581298301111,11,330.67974492880535,94.5,6.9360000564573765,8.67,1.7339999435426234,19.999999348819188,-3.507195048,9.999999999999355,9.143852106664978,4.650575995819148,3.056094805816416,-10,9.999999998648658,-1.942162712,10,-4.150798571,-10
119.57,22.22,46,1426,26,2.6,31.54,4.82,1.16,1.143,0,0,0,1.21,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0
119.08,31.58,106,1018,16.8,0.16,8.06,4.5,3.2,2.14,10,450,0,6.94,6.94,0,0,0,0,0,0,0,0,0,0,0,0,0
113.19,28.32,100,1330,17.5,-0.96,35.09,4.5,0.86,1.11,10,300,0,15.2,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0
119.08,31.58,109.166202974124,1111.7877478528465,15.722526113331325,0.07667303649569522,8.198309313,4.696304252947054,3.082137183437644,2.1440832374304417,0,0,0,5.992007467750988,7.49,1.497992532249012,19.999900297049557,2.9869839378500167,-6.729215784,-5.285987269,-4.158704375,-3.207682252,4.362316732059815,-3.683213017,0.1908054873948964,0,0,0
