longitude,latitude,Altitude(m),Precipitation(mm),Average Temperature (°„C),pH,TN(g/kg-1),AP (mg/kg-1),AK(mg/kg-1),SOC(%),Large-leaved variety,Medium-leaved variety,small-leaved variety,Years of planting,Replicates,mineral fertilizer,organic fertilizer,controlled-released fertilizer,mix fertilizer,N quantity(kg/y/hm2),P2O5 quantity(kg/y/hm2),K2O quantity(kg/y/hm2),organic fertilizer quantity(kg`y/hm2),Fresh Shoot Yield(kg/667m2)_MEAN
119.57,27.21,62,1699.5,17.16,4.85,0.3,48,180.9,0.37,0,1,0,3,4,1,0,0,0,112.5,150,300,0,319.6
119.43,32.53,7,1204,16,4.4,0.6,76.6,159.7,1.43,0,1,0,9,3,1,0,0,0,307.74,43.25,179.4,0,8.21
113.33,28.58,105,1330,17.5,6.3,1.13,NaN,NaN,1.32,1,0,0,3,3,0,0,1,0,450,0,0,0,240
118.03,25.4,451,1431,20.22,3.82,1.2,52,221,3.97,0,1,0,12,3,0,1,0,0,0,0,0,7500,515.3
119.17,35.3,125,868.1,23.6,5.41,1.12,48.7,258.3,1.25,0,1,0,3,3,0,0,0,1,150,45,105,1500,271.34
88.24,26.88,100,2000,13,4.86,0.85,41,146,1.78,1,0,0,20,3,1,0,0,0,109.7,25.6,20.8,0,119.02
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,150,150,150,0,754
120.52,29.74,484,1466.2,17.83,3.66,2.72,29.9,189.15,2.35,0,1,0,10,3,1,0,0,0,450,163.64,90.74,0,584.06
116.78,23.81,245,1475.9,21.4,4.31,1.14,47.3,201.42,1.98,0,1,0,3,3,1,0,0,0,459,124,166,0,236
120.52,29.74,484,1354.4,17.65,3.66,2.72,29.9,189.15,2.35,0,1,0,10,3,0,0,1,0,450,75,90,0,379.31
119.95,28.44,74,1824.8,18.3,4.16,0.5,75.2,221.28,1.15,0,1,0,8,3,0,0,0,1,522,315,315,3750,96.73
119.36,28.56,372,870.55,17.84,4.31,1.26,174,288,1.68,0,1,0,2,3,1,0,0,0,155.34,51,81.6,0,79.57
103.63,30.35,486,1215,13.4,3.8,0.8,92.7,150.4,1.43,0,1,0,9,3,1,0,0,0,359.26,28.63,132.08,0,589.78
103.86,30.71,530,1000,16,6.3,1.4,NaN,NaN,1.43,0,1,0,6,3,1,0,0,0,110,30,30,0,198.6
118.43,26.63,701,1660,19.3,4.53,0.57,15,237,1.37,0,1,0,7,3,0,0,0,0,0,0,0,0,132.83
119.95,28.44,74,1824.8,18.3,4.16,0.5,75.2,221.28,1.15,0,1,0,8,3,0,0,0,1,522,315,315,7500,112.37
119.38,28.52,167,1650,17.7,3.6,2.83,261,200.52,3.83,0,1,0,7,3,0,0,0,0,0,0,0,0,56.56
119.17,35.3,125,865.1,20.6,5.41,1.12,48.7,258.3,1.25,0,1,0,3,3,0,1,0,0,0,0,0,3000,236.43
113.33,28.58,105,1330,17.5,4.16,0.77,55.5,NaN,0.98,1,0,0,3,3,1,0,0,0,450,0,0,0,149.77
116.78,23.81,245,1475.9,21.4,4.31,1.14,47.3,201.42,1.98,0,1,0,3,3,1,0,0,0,459,124,166,0,269.5
119.38,28.58,186,1648,18.11,4.31,1.26,17.4,144,1.68,0,1,0,9,3,1,0,0,0,155.34,51,81.6,0,129.72
113.08,28.25,450,1389,16.5,4.8,0.88,NaN,186,0.84,0,1,0,10,3,1,0,0,0,900,117.9,104.1,0,189.13
88.24,26.88,100,2000,13,4.86,0.85,41,146,1.78,1,0,0,20,3,1,0,0,0,8.96,4.4,6,0,92.07
109.72,32.24,600,1160.1,14.35,4.8,0.88,NaN,186,0.84,0,1,0,10,5,1,0,0,0,807.75,0,0,0,148.83
119.17,35.3,125,857.1,12.6,5.38,1.01,49.36,174.76,1.05,0,1,0,3,3,1,0,0,0,300,90,210,0,234.45
100.98,22.8,1302,1868.6,19.01,6.3,1.02,91.7,261.12,0.37,1,0,0,9,3,0,0,0,0,0,0,0,0,325.25
114.92,31.95,72,862.65,16.41,5.2,1.84,NaN,NaN,1.88,0,1,0,5,3,0,0,0,1,150.79,0,0,0,371
119.83,35.82,1139,697.3,14.28,6.3,3.05,91.68,210,1.72,0,1,0,10,3,1,0,0,0,9487.5,2362.5,3487.5,0,207.7
107.09,26.22,1100,1265.4,15.59,4.63,0.98,40.5,246,2.42,0,1,0,20,3,0,0,1,0,340.8,48,72,0,979.75
100.33,22.13,1112,1400,18.9,5.52,0.95,NaN,114.63,1.2,1,0,0,9,3,0,1,0,0,0,0,0,33.33,129.02
88.24,26.88,100,2000,13,4.86,0.85,41,146,1.78,1,0,0,20,3,0,0,0,0,0,0,0,0,79.72
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,0,0,0,0,0,0,0,0,144.6
100.34,22.18,1100,1341,18.5,4.11,2.39,1009.5,258.5,5.51,1,0,0,9,3,1,0,0,0,350,229.2,229.2,0,193.17
116.78,23.81,245,1475.9,21.4,4.31,1.14,47.3,201.42,1.98,0,1,0,3,3,1,0,0,0,513,172,215,0,256
119.57,27.21,62,1699.5,17.16,4.85,0.3,48,180.9,0.37,0,1,0,3,4,1,0,0,0,450,150,300,0,355.73
119.38,28.58,186,1648,18.11,4.31,1.26,17.4,144,1.68,0,1,0,9,3,1,0,0,0,155.34,51,81.6,0,90.45
119.58,27.22,111,1876.1,17.02,5.3,1.13,NaN,188.1,3.2,1,0,0,20,3,0,0,0,1,34.5,0,0,3000,166.14
88.24,26.88,100,2000,13,4.86,0.85,41,146,1.78,1,0,0,20,3,1,0,0,0,54.9,12.8,10.4,0,100.49
119.36,28.56,372,1484,17.71,4.31,1.26,174,288,1.68,0,1,0,2,3,1,0,0,0,155.34,51,81.6,0,192.12
118.55,25.62,600,1800,18,3.38,3.69,NaN,NaN,5.92,0,1,0,10,3,0,1,0,0,0,0,0,18000,320.72
120.68,29.93,74,1461,16.4,5.5,1.7,18.2,151.6,2.75,0,1,0,19,3,1,0,0,0,0,80,100,0,207.08
118,25.01,230,1800,17,3.91,1.39,45,168.4,1.05,0,1,0,5,3,1,0,0,0,0,112.5,225,0,218.51
106.79,22.33,332,1509.8,17.27,3.87,1.31,35.9,215.95,1.03,0,1,0,5,3,0,0,0,0,0,0,0,0,181.14
119.36,28.56,372,1484,17.71,4.31,1.26,174,288,1.68,0,1,0,2,3,1,0,0,0,310.68,102,163.2,0,197.61
