longitude,latitude,Altitude(m),Precipitation(mm),Average Temperature (¡ãC),pH,TN(g/kg-1),AP (mg/kg-1),AK(mg/kg-1),SOC(%),Large-leaved variety,Medium-leaved variety,small-leaved variety,Years of planting,Replicates,mineral fertilizer,organic fertilizer,controlled-released fertilizer,mix fertilizer,N quantity(kg/y/hm2),P2O5 quantity(kg/y/hm2),K2O quantity(kg/y/hm2),organic fertilizer quantity(kg`y/hm2),optimized_target,original_target,improvement
119.38,26.68,748.9581157693332,1741.6349972110788,19.147650393289222,3.66,1.2397566008082883,513.0715966289736,185.85664583476344,2.8330273592012105,0,1,0,2.773621056144894,3.6141234338090387,0,1,0,0,242.64608682698832,162.3033820118836,303.9723518679858,14634.080718133615,634.1718403869116,366.33,267.84184038691166
101.62,22.62,858.5154608651274,2000,22.8,5.646852418851219,10.188544203252572,409.78498912978523,237.07457804456845,2.292011012406159,1,0,0,24.086380373213327,3.636738073464193,1,0,0,0,700,244.7716626454928,76.00393101605958,15664.797495523162,694.6428512303389,554.74,139.9028512303389
119.38,28.58,1098.8944783727864,1740.54001752239,15.45344972252942,5.694751122744171,0.6541588009265332,557.901422779455,248.03197524974235,4.104434359488392,0,1,0,11.984314874709781,3.5993537321834244,1,0,0,0,698.3766390073142,343.4100190717016,124.36914794868511,15644.851827575676,712.8782762192853,129.72,583.1582762192853
118,25.01,951.8176254002362,1426.4479376280492,22.05851716545959,4.804905738608191,2.7814863770472553,14.4,182.78252670952875,3.8957840926198237,0,1,0,21.90045863344356,3.35837267192472,1,0,0,0,341.1762974879801,217.40624354630748,74.6121163645124,12495.550495410824,707.6524630919104,352.23,355.42246309191034
88.24,26.88,911.9628204940284,1809.647371518643,19.599747771132147,4.521583138929937,0.874237621205562,14.4,235.0255202286294,2.3247645748179773,1,0,0,22.72848364515544,3.29167375264716,1,0,0,0,697.1373032766508,217.08315701929027,17.64250757180006,12358.84564323458,886.5064190963893,119.02,767.4864190963893
119.17,35.3,1363,1787.270454612883,16.998658388610774,4.616745466614267,12.6,902.8069298141603,246.43584893004092,4.142563908990203,0,1,0,25,3.827467533762991,0,0,1,0,636.4970742469177,335.638339299263,164.1808645449258,12520.649458524242,758.2471941173438,232.81,525.4371941173438
118,25.01,959.9923305173168,2000,15.528873053639794,4.6051315321809,8.855329154641586,14.4,249.15044096224497,3.931925198203605,0,1,0,24.654862400063795,3.490340334638123,1,0,0,0,333.01576593012044,304.12702157707133,0,5876.804297728289,726.3420436094814,291.55,434.79204360948137
120.68,29.93,1164.677252145161,1451.7728983111328,17.827866203593402,3.710356955094694,0.74752312478525,155.50812504791446,182.88727778408344,4.2385415132210404,0,1,0,19.814642051961915,3.685145685689529,1,0,0,0,243.41929294733382,174.10850980246937,76.01084893544262,19094.013875454584,743.257396147991,154.69,588.5673961479911
119.41,35.45,899.8048601952848,1729.952802566488,15.285635999460517,5.389221376094949,0.9578623931740193,660.7580680528729,249.88379452186896,3.91454610632905,0,1,0,22.5508051145672,3.9700179983231734,1,0,0,0,414.39173103750585,241.6691581925212,92.72384773159332,18267.281104616537,763.759730726014,274.53,489.22973072601405
113.78,23.16,0,1607.186093609325,22.60123303165503,5.7,0.20161812833559356,46.024851809773594,130.05309394766977,0.5291087391552348,1,0,0,3.679429900849752,3.1245225315983354,1,0,0,0,151.72964274946634,140.66005076565037,137.5504015074253,0,784.3730190851961,754,30.37301908519612
117.88,25.3,853.2923521658518,1790.4730173651606,22.8,5.5939689289076515,0.9697661813415128,605.9517611068919,287.81480553240095,3.6207988098775643,0,1,0,25,3.511888044453018,1,0,0,0,622.671003622382,410.2958567120276,75.22103321561475,11964.31806385317,682.4532749950596,150,532.4532749950596
116,28.37,500.0319120238796,1780.5960458801608,18.235649554363206,5.68620847561614,0.9730759392551636,682.7739972999505,233.40882172684448,4.98815418546236,0,1,0,24.407163782186313,3.773796604259401,1,0,0,0,431.45666347529703,203.26014647433323,164.28375050713356,14726.214800145206,659.0333250841693,489.33,169.7033250841693
119.38,28.58,744.7404327810908,1766.6353319395123,14.967363179340698,5.7,0.4038738554464717,524.9804009393093,151.29448141639241,4.17084488691474,0,1,0,22.827666969275974,3.6796001688824975,1,0,0,0,334.19907113844727,188.72488275974956,137.826371835801,15509.234850871788,738.8163954004093,147.75,591.0663954004093
106.79,22.33,966.8011593093324,1746.424030528679,15.371296153423389,5.253774421754773,0.5671772348718702,463.47441800621544,253.25459027477848,4.256240829677332,0,1,0,22.968640197408323,3.6992155604532244,1,0,0,0,62.05863581821163,333.35145207414337,137.69496354919,15696.654999455925,765.9643864177021,245.88,520.0843864177021
113.78,23.16,860.7161730027163,1912.0060768802489,22.8,4.433661684770439,0.6107680299361921,14.4,215.58777429488427,2.440253152783967,1,0,0,11.493972266192548,3.507259586115469,1,0,0,0,615.9981031268759,260.96566163881926,0,11856.183171629495,816.7173474649406,604.33,212.3873474649406
119.57,27.21,974.4933833667869,1787.2342974364008,16.830213113526106,5.7,0.6030212132402915,530.5328818664086,251.46939142369814,5.314437358251064,0,1,0,24.887353164315723,3.9972265375664997,1,0,0,0,633.2686114412577,236.38566583384437,164.0619985178978,9542.496043325546,735.1977562941848,350.18,385.01775629418484
120.067,30.22,519.9957474161681,1466.5596557913718,12.6,3.66,0.3772685209662188,461.34515499767025,169.23425953233638,2.838796070756754,0,1,0,19.638002777301587,3,1,0,0,0,341.28263977228636,156.21055848335394,128.53697064922397,5005.082603425416,736.1610309354395,296.33,439.8310309354395
106.79,22.33,897.6407827349268,1710.8638758425259,12.6,5.350560267962466,0.9819330986677864,336.72045355226317,246.86527821980985,4.108440640695851,0,1,0,25,3.5630458652273687,1,0,0,0,203.11315676197955,219.49237684000548,131.84438446566287,10812.72396197329,770.4763399471315,267.18,503.29633994713146
116.78,23.81,1100.01075246411,1742.4350066635466,15.299732886900186,4.868713454661556,0.17,518.4069828492053,281.3219437344802,3.219398437565789,0,1,0,25,3.4087105425562023,1,0,0,0,336.14477275149926,325.1712568642809,369.46622396800785,9806.240238327995,706.0091567862867,217.52,488.4891567862867
119.36,28.56,973.308822263516,1750.1512170632536,17.90661114604551,5.564049509300627,10.786521676012361,459.3102339725991,262.21928941204203,3.7022789031937235,0,1,0,24.69026240479238,3.8798708611282757,1,0,0,0,578.4332182844578,261.39495813912896,163.98209900635868,17515.291269912654,671.0072272831671,188.01,482.99722728316715
118.23,25.44,756.8866959348724,1752.8505288896783,17.946526146263903,4.547404866330398,5.580616121889574,14.4,219.2889188132904,2.801038896930125,1,0,0,8.399596614573948,3.2522425476000043,0,0,0,1,427.6149233208844,137.69957800745863,67.78808182981729,10046.034504776382,769.1498523117625,695.67,73.47985231176256
119.6,27.17,1159.9339662055527,1254.9432891907925,13.413602811920656,4.165851370039051,0.4818951808461627,14.4,169.20520856822824,3.5583771959422283,1,0,0,20.76833152475983,3.5749315653280616,0,0,1,0,382.88241928626053,285.969246661501,130.09449340759852,5188.559290580837,881.5250014500353,344.84,536.6850014500353
119.37,28.57,504.508129919797,1787.5114502821675,22.8,5.7,12.6,229.45090981823523,121.57,4.179680823101208,0,1,0,25,3.612075726408499,1,0,0,0,192.8515093128384,300.64791833762854,164.56548501043227,19499,686.0855556449527,147.75,538.3355556449527
